,targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,siderealtime
29,ATLAS (C/2025 N1),2025-Aug-24 10:54:56.640,2460911.954822222,12.3,,4.5,,20.4784999023
30,ATLAS (C/2025 N1),2025-Aug-25 07:10:45.974,2460912.799143218,12.3,A,4.5,m,16.7976822166
31,ATLAS (C/2025 N1),2025-Aug-25 07:13:37.392,2460912.801127222,12.3,A,4.5,m,16.845428692
32,ATLAS (C/2025 N1),2025-Aug-25 07:16:57.235,2460912.80344022,12.3,A,4.5,m,16.9010926181
33,ATLAS (C/2025 N1),2025-Aug-25 07:20:51.293,2460912.806149225,12.3,A,4.5,m,16.9662867316
34,ATLAS (C/2025 N1),2025-Aug-25 07:23:20.506,2460912.807876227,12.3,A,4.5,m,17.0078482644
35,ATLAS (C/2025 N1),2025-Aug-26 07:09:30.202,2460913.798266227,12.3,A,4.5,m,16.8422844816
36,ATLAS (C/2025 N1),2025-Aug-26 07:11:10.166,2460913.799423218,12.3,A,4.5,m,16.8701282826
37,ATLAS (C/2025 N1),2025-Aug-26 07:12:50.822,2460913.800588218,12.3,A,4.5,m,16.8981648321
38,ATLAS (C/2025 N1),2025-Aug-26 07:14:31.565,2460913.801754225,12.3,A,4.5,m,16.9262256145
39,ATLAS (C/2025 N1),2025-Aug-26 07:16:11.789,2460913.802914225,12.3,A,4.5,m,16.9541418355
40,ATLAS (C/2025 N1),2025-Aug-26 07:17:52.013,2460913.804074225,12.3,A,4.5,m,16.9820580565
41,ATLAS (C/2025 N1),2025-Aug-26 07:21:26.630,2460913.806558217,12.3,A,4.5,m,17.0418371074
42,ATLAS (C/2025 N1),2025-Aug-26 07:23:07.200,2460913.807722222,12.3,A,4.5,m,17.0698497026
43,ATLAS (C/2025 N1),2025-Aug-26 07:24:47.770,2460913.808886227,12.3,A,4.5,m,17.0978622978
44,ATLAS (C/2025 N1),2025-Aug-26 07:26:28.426,2460913.810051227,12.3,A,4.5,m,17.1258988473
45,ATLAS (C/2025 N1),2025-Aug-26 07:31:59.165,2460913.813879224,12.3,A,4.5,m,17.2180223209
46,ATLAS (C/2025 N1),2025-Aug-26 07:33:39.734,2460913.815043218,12.3,A,4.5,m,17.2460346376
