,targetname,datetime_jd,datetime_str,x,y,z,vx,vy,vz,lighttime,range,range_rate
24,Earth (399),2460911.949014222,A.D. 2025-Aug-24 10:46:34.8288,0.8857708215699936,-0.4873451298295118,2.40770812547499e-05,0.008016536468879544,0.01501564418546368,-2.888044949676999e-07,0.005838975409021708,1.010987252388986,-0.0002146287970438091
25,Earth (399),2460911.950172222,A.D. 2025-Aug-24 10:48:14.8800,0.8857801045481184,-0.4873277416196997,2.4076746818951e-05,0.008016240942942338,0.01501580625667465,-2.888048116564691e-07,0.005838973973556024,1.010987003845807,-0.0002146340331476883
26,Earth (399),2460911.951332222,A.D. 2025-Aug-24 10:49:55.1040,0.8857894032159074,-0.4873103231902852,2.407641180515114e-05,0.00801594490321554,0.01501596860166992,-2.888051725577745e-07,0.005838972535576015,1.010986754867287,-0.0002146392780842462
27,Earth (399),2460911.952492222,A.D. 2025-Aug-24 10:51:35.3280,0.8857987015402882,-0.4872929045725542,2.407607679095284e-05,0.008015648860103796,0.0150161309405285,-2.888055771627538e-07,0.005838971097560866,1.010986505882682,-0.0002146445228098667
28,Earth (399),2460911.953656222,A.D. 2025-Aug-24 10:53:15.8976,0.8858080315826784,-0.4872754257013169,2.407574062095184e-05,0.008015351792751103,0.0150162938330079,-2.888060270913536e-07,0.005838969654551725,1.010986256033394,-0.0002146497854086436
29,Earth (399),2460911.954822222,A.D. 2025-Aug-24 10:54:56.6400,0.8858173773093727,-0.4872579166075933,2.407540387285027e-05,0.008015054211557258,0.01501645699917584,-2.888065219065267e-07,0.005838968209027719,1.010986005748672,-0.0002146550568365855
30,Earth (399),2460912.799143222,A.D. 2025-Aug-25 07:10:45.9744,0.8924934374224806,-0.4745297870229209,2.382818216358909e-05,0.007798687307702902,0.01513297675660646,-3.005635593448547e-07,0.005837912256950675,1.01080317331417,-0.000218411464952642
31,Earth (399),2460912.801127222,A.D. 2025-Aug-25 07:13:37.3920,0.8925089095117109,-0.4744997629292532,2.382758579202824e-05,0.007798176841788007,0.01513324671053326,-3.006174765424392e-07,0.005837909754205173,1.01080273997722,-0.0002184201384557057
32,Earth (399),2460912.803440222,A.D. 2025-Aug-25 07:16:57.2352,0.8925269460064922,-0.474464759365645,2.382689039095577e-05,0.007797581715143464,0.01513356140719478,-3.006804868054777e-07,0.005837906836312391,1.010802234759746,-0.0002184302492896444
33,Earth (399),2460912.806149222,A.D. 2025-Aug-25 07:20:51.2928,0.8925480687112235,-0.4744237620486101,2.382607574734612e-05,0.007796884682832489,0.0151339299506593,-3.0075449306225e-07,0.005837903418686478,1.010801643016162,-0.0002184420898373339
34,Earth (399),2460912.807876222,A.D. 2025-Aug-25 07:23:20.5056,0.8925615335473602,-0.4743976255487162,2.382555630350232e-05,0.007796440312351135,0.01513416488123545,-3.00801789630807e-07,0.005837901239837496,1.010801265760155,-0.0002184496374952491
35,Earth (399),2460913.798266222,A.D. 2025-Aug-26 07:09:30.2016,0.9001564741528604,-0.4593429302057977,2.35093627776592e-05,0.007540452019130302,0.01526663233951381,-3.424815866420842e-07,0.005836639516513708,1.010582805138722,-0.0002226763972778555
36,Earth (399),2460913.799423222,A.D. 2025-Aug-26 07:11:10.1664,0.9001651982820811,-0.4593252666241844,2.350896648878484e-05,0.007540151645956472,0.01526678444977658,-3.425466715805618e-07,0.005836638028512771,1.010582547499346,-0.0002226812099991044
37,Earth (399),2460913.800588222,A.D. 2025-Aug-26 07:12:50.8224,0.9001739823825714,-0.4593074807310835,2.350856738376508e-05,0.007539849192817113,0.0152669376055583,-3.426122436961493e-07,0.005836636530190654,1.010582288072914,-0.0002226860556886299
38,Earth (399),2460913.801754222,A.D. 2025-Aug-26 07:14:31.5648,0.9001827736702517,-0.4592896793924631,2.35081678596193e-05,0.007539546476991937,0.01526709088653726,-3.426779094187913e-07,0.00583663503054978,1.010582028418145,-0.000222690905227071
39,Earth (399),2460913.802914222,A.D. 2025-Aug-26 07:16:11.7888,0.9001915193694896,-0.4592719694785963,2.350777031530922e-05,0.007539245315834597,0.01526724337254179,-3.427432742797159e-07,0.005836633538593348,1.010581770093897,-0.0002226957295025046
40,Earth (399),2460913.804074222,A.D. 2025-Aug-26 07:17:52.0128,0.9002002647193793,-0.4592542593878493,2.350737269519737e-05,0.007538944151638576,0.01526739585234094,-3.428086760772673e-07,0.0058366320466046,1.010581511764053,-0.0002227005534704219
